
------------------------------------

Generating Certain Rules using LERS

------------------------------------

Loop 1:
--------------------------

Marked Values:

Certain Rules:
None

Possible Rules:
[maintvhigh] -> doors4 [Support: 108, Confidence: 25%]
[safetylow] -> doors4 [Support: 144, Confidence: 25%]
[classValueunacc] -> doors4 [Support: 292, Confidence: 24%]
[classValueacc] -> doors4 [Support: 102, Confidence: 26%]
[buyingvhigh] -> doors4 [Support: 108, Confidence: 25%]
[personsmore] -> doors4 [Support: 144, Confidence: 25%]
[classValuevgood] -> doors4 [Support: 20, Confidence: 30%]
[buyinghigh] -> doors4 [Support: 108, Confidence: 25%]
[lug_bootsmall] -> doors4 [Support: 144, Confidence: 25%]
[buyinglow] -> doors4 [Support: 108, Confidence: 25%]
[lug_bootbig] -> doors4 [Support: 144, Confidence: 25%]
[mainthigh] -> doors4 [Support: 108, Confidence: 25%]
[maintlow] -> doors4 [Support: 108, Confidence: 25%]
[buyingmed] -> doors4 [Support: 108, Confidence: 25%]
[safetyhigh] -> doors4 [Support: 144, Confidence: 25%]
[persons2] -> doors4 [Support: 144, Confidence: 25%]
[safetymed] -> doors4 [Support: 144, Confidence: 25%]
[classValuegood] -> doors4 [Support: 18, Confidence: 26%]
[lug_bootmed] -> doors4 [Support: 144, Confidence: 25%]
[maintmed] -> doors4 [Support: 108, Confidence: 25%]
[persons4] -> doors4 [Support: 144, Confidence: 25%]

Loop 2:
--------------------------

Marked Values:

Certain Rules:
None

Possible Rules:
[safetylow, maintmed] -> doors4 [Support: 36, Confidence: 25%]
[safetylow, lug_bootbig] -> doors4 [Support: 48, Confidence: 25%]
[persons4, lug_bootbig] -> doors4 [Support: 48, Confidence: 25%]
[mainthigh, safetymed] -> doors4 [Support: 36, Confidence: 25%]
[persons4, classValuevgood] -> doors4 [Support: 10, Confidence: 33%]
[maintvhigh, buyingmed] -> doors4 [Support: 27, Confidence: 25%]
[maintmed, buyinghigh] -> doors4 [Support: 27, Confidence: 25%]
[maintvhigh, personsmore] -> doors4 [Support: 36, Confidence: 25%]
[buyinglow, personsmore] -> doors4 [Support: 36, Confidence: 25%]
[safetyhigh, classValueunacc] -> doors4 [Support: 66, Confidence: 23%]
[lug_bootbig, classValuevgood] -> doors4 [Support: 10, Confidence: 25%]
[lug_bootsmall, safetymed] -> doors4 [Support: 48, Confidence: 25%]
[maintlow, buyingvhigh] -> doors4 [Support: 27, Confidence: 25%]
[buyingvhigh, persons2] -> doors4 [Support: 36, Confidence: 25%]
[safetyhigh, classValuevgood] -> doors4 [Support: 20, Confidence: 30%]
[classValuegood, personsmore] -> doors4 [Support: 9, Confidence: 27%]
[maintvhigh, classValueacc] -> doors4 [Support: 20, Confidence: 27%]
[persons4, buyinghigh] -> doors4 [Support: 36, Confidence: 25%]
[lug_bootmed, buyingvhigh] -> doors4 [Support: 36, Confidence: 25%]
[classValueunacc, personsmore] -> doors4 [Support: 74, Confidence: 22%]
[classValueacc, buyingmed] -> doors4 [Support: 30, Confidence: 26%]
[lug_bootbig, buyinghigh] -> doors4 [Support: 36, Confidence: 25%]
[buyingvhigh, lug_bootbig] -> doors4 [Support: 36, Confidence: 25%]
[safetyhigh, maintmed] -> doors4 [Support: 36, Confidence: 25%]
[buyinglow, classValueacc] -> doors4 [Support: 22, Confidence: 24%]
[classValueunacc, lug_bootmed] -> doors4 [Support: 92, Confidence: 23%]
[buyinglow, lug_bootmed] -> doors4 [Support: 36, Confidence: 25%]
[safetylow, lug_bootsmall] -> doors4 [Support: 48, Confidence: 25%]
[safetymed, buyingvhigh] -> doors4 [Support: 36, Confidence: 25%]
[safetyhigh, lug_bootbig] -> doors4 [Support: 48, Confidence: 25%]
[maintvhigh, lug_bootmed] -> doors4 [Support: 36, Confidence: 25%]
[safetyhigh, buyinghigh] -> doors4 [Support: 36, Confidence: 25%]
[buyingmed, maintmed] -> doors4 [Support: 27, Confidence: 25%]
[safetyhigh, lug_bootmed] -> doors4 [Support: 48, Confidence: 25%]
[safetylow, persons2] -> doors4 [Support: 48, Confidence: 25%]
[buyingmed, classValuevgood] -> doors4 [Support: 8, Confidence: 30%]
[buyinglow, maintlow] -> doors4 [Support: 27, Confidence: 25%]
[safetylow, persons4] -> doors4 [Support: 48, Confidence: 25%]
[maintlow, classValuegood] -> doors4 [Support: 12, Confidence: 26%]
[mainthigh, safetyhigh] -> doors4 [Support: 36, Confidence: 25%]
[buyingmed, lug_bootbig] -> doors4 [Support: 36, Confidence: 25%]
[mainthigh, classValueacc] -> doors4 [Support: 28, Confidence: 26%]
[persons4, buyingvhigh] -> doors4 [Support: 36, Confidence: 25%]
[classValueacc, buyinghigh] -> doors4 [Support: 30, Confidence: 27%]
[classValuegood, maintmed] -> doors4 [Support: 6, Confidence: 26%]
[classValuegood, lug_bootbig] -> doors4 [Support: 6, Confidence: 25%]
[safetylow, lug_bootmed] -> doors4 [Support: 48, Confidence: 25%]
[classValueunacc, lug_bootsmall] -> doors4 [Support: 108, Confidence: 24%]
[mainthigh, persons4] -> doors4 [Support: 36, Confidence: 25%]
[maintvhigh, classValueunacc] -> doors4 [Support: 88, Confidence: 24%]
[safetymed, personsmore] -> doors4 [Support: 48, Confidence: 25%]
